TIME,ADDRESS,SNOOP_TYPE,TAG,INDEX,MATCH_FOUND,WAY,WAS_DIRTY,WAS_VALID
252743310000,0000000000097780,d,0000000000012e,30,0,,,
252784316000,0000000000097780,d,0000000000012e,30,0,,,
252784578000,0000000000097780,d,0000000000012e,30,0,,,
252832625000,0000000000097780,d,0000000000012e,30,0,,,
252832887000,0000000000097780,d,0000000000012e,30,0,,,
252887948000,0000000000097780,d,0000000000012e,30,0,,,
252888210000,0000000000097780,d,0000000000012e,30,0,,,
252951770000,0000000000097780,d,0000000000012e,30,0,,,
252952032000,0000000000097780,d,0000000000012e,30,0,,,
253037708000,0000000000097780,d,0000000000012e,30,0,,,
253037970000,0000000000097780,d,0000000000012e,30,0,,,
253233767000,0000000000097780,d,0000000000012e,30,0,,,
253234029000,0000000000097780,d,0000000000012e,30,0,,,
253429748000,0000000000097780,d,0000000000012e,30,0,,,
253430139000,0000000000097780,d,0000000000012e,30,0,,,
253623491000,0000000000097780,d,0000000000012e,30,0,,,
253623753000,0000000000097780,d,0000000000012e,30,0,,,
253817852000,0000000000097780,d,0000000000012e,30,0,,,
253818114000,0000000000097780,d,0000000000012e,30,0,,,
254016752000,0000000000097780,d,0000000000012e,30,0,,,
254017014000,0000000000097780,d,0000000000012e,30,0,,,
254214314000,0000000000097780,d,0000000000012e,30,0,,,
254214576000,0000000000097780,d,0000000000012e,30,0,,,
254410643000,0000000000097780,d,0000000000012e,30,0,,,
254410905000,0000000000097780,d,0000000000012e,30,0,,,
254605937000,0000000000097780,d,0000000000012e,30,0,,,
254606199000,0000000000097780,d,0000000000012e,30,0,,,
254706287000,0000000000097780,d,0000000000012e,30,0,,,
254706549000,0000000000097780,d,0000000000012e,30,0,,,
254769890000,0000000000097780,d,0000000000012e,30,0,,,
254770152000,0000000000097780,d,0000000000012e,30,0,,,
254818190000,0000000000097780,d,0000000000012e,30,0,,,
254818551000,0000000000097780,d,0000000000012e,30,0,,,
254858891000,0000000000097780,d,0000000000012e,30,0,,,
254859153000,0000000000097780,d,0000000000012e,30,0,,,
254899598000,0000000000097780,d,0000000000012e,30,0,,,
254899860000,0000000000097780,d,0000000000012e,30,0,,,
254933444000,0000000000097780,d,0000000000012e,30,0,,,
254933706000,0000000000097780,d,0000000000012e,30,0,,,
254967020000,0000000000097780,d,0000000000012e,30,0,,,
254967282000,0000000000097780,d,0000000000012e,30,0,,,
254999924000,0000000000097780,d,0000000000012e,30,0,,,
255000186000,0000000000097780,d,0000000000012e,30,0,,,
255032366000,0000000000097780,d,0000000000012e,30,0,,,
255032628000,0000000000097780,d,0000000000012e,30,0,,,
255064349000,0000000000097780,d,0000000000012e,30,0,,,
255064611000,0000000000097780,d,0000000000012e,30,0,,,
255089960000,0000000000097780,d,0000000000012e,30,0,,,
