TIME,PC,INSTRUCTION,REG_DEST,PREV_VALUE,NEW_VALUE,UPDATE_TYPE
4740000,0000000000026288,00868693,x13,0000000000093f50,0000000000093f58,ALU
4796500,0000000000026280,0006b603,x12,0000000000095730,0000000000095730,LOAD
4799500,0000000000026284,00878793,x15,0000000000098708,0000000000098710,ALU
4802500,0000000000026288,00868693,x13,0000000000093f58,0000000000093f60,ALU
4815000,0000000000026280,0006b603,x12,0000000000095730,0000000000095750,LOAD
4818000,0000000000026284,00878793,x15,0000000000098710,0000000000098718,ALU
4821000,0000000000026288,00868693,x13,0000000000093f60,0000000000093f68,ALU
4833500,0000000000026280,0006b603,x12,0000000000095750,0000000000095738,LOAD
4836500,0000000000026284,00878793,x15,0000000000098718,0000000000098720,ALU
4839500,0000000000026288,00868693,x13,0000000000093f68,0000000000093f70,ALU
4849500,0000000000026294,fff74793,x15,0000000000098720,fffffffffff678ff,ALU
4852500,0000000000026298,010787b3,x15,fffffffffff678ff,000000000000001f,ALU
4855500,000000000002629c,ff87f793,x15,000000000000001f,0000000000000018,ALU
4858500,00000000000262a0,00878793,x15,0000000000000018,0000000000000020,ALU
4861500,00000000000262a4,00f70733,x14,0000000000098700,0000000000098720,ALU
4864500,00000000000262a8,00f585b3,x11,0000000000093f50,0000000000093f70,ALU
4876000,0000000000010988,8e81b783,x15,0000000000000020,0000000000000800,LOAD
4879000,000000000001098c,00097737,x14,0000000000098720,0000000000097000,ALU
4882000,0000000000010990,c2870713,x14,0000000000097000,0000000000096c28,ALU
4938000,0000000000010998,00f78793,x15,0000000000000800,000000000000080f,ALU
4941000,000000000001099c,dc018713,x14,0000000000096c28,0000000000095eb0,ALU
4944000,00000000000109a0,04000613,x12,0000000000095738,0000000000000040,ALU
4947000,00000000000109a4,00100693,x13,0000000000093f70,0000000000000001,ALU
5007000,00000000000109ac,00097637,x12,0000000000000040,0000000000097000,ALU
5018000,00000000000109b8,000976b7,x13,0000000000000001,0000000000097000,ALU
5230000,00000000000109d4,01000713,x14,0000000000095eb0,0000000000000010,ALU
5233000,00000000000109d8,00048213,x4,0000000000000000,0000000000098700,ALU
5236000,00000000000109dc,03790933,x18,000000000000000a,0000000000000050,ALU
5239000,00000000000109e0,01240433,x8,0000000000000000,0000000000000050,ALU
5242000,00000000000109e4,008787b3,x15,000000000000080f,000000000000085f,ALU
5245000,00000000000109e8,ff07f793,x15,000000000000085f,0000000000000850,ALU
5252000,00000000000109f0,000977b7,x15,0000000000000850,0000000000097000,ALU
5310500,0000000000010a00,05813083,x1,0000000000010988,0000000000010510,LOAD
5313500,0000000000010a04,000977b7,x15,0000000000097000,0000000000097000,ALU
5320500,0000000000010a0c,00100713,x14,0000000000000010,0000000000000001,ALU
5323500,0000000000010a10,000977b7,x15,0000000000097000,0000000000097000,ALU
5327500,0000000000010a14,05013403,x8,0000000000000050,0000000000010b00,LOAD
5331500,0000000000010a18,04813483,x9,0000000000098700,0000000000010bd8,LOAD
5335500,0000000000010a1c,04013903,x18,0000000000000050,0000000000000000,LOAD
5339500,0000000000010a20,03813983,x19,0000000000000020,0000000000000000,LOAD
5343500,0000000000010a24,03013a03,x20,0000000000093f50,0000000000000000,LOAD
5347500,0000000000010a28,02813a83,x21,0000000000000010,0000000000000000,LOAD
5351500,0000000000010a2c,02013b03,x22,0000000000000000,0000000000000000,LOAD
5355500,0000000000010a30,01813b83,x23,0000000000000008,0000000000000000,LOAD
5359500,0000000000010a34,01013c03,x24,0000000000000050,0000000000000000,LOAD
5363500,0000000000010a38,00813c83,x25,0000000000000008,0000000000000000,LOAD
5367500,0000000000010a3c,00013d03,x26,0000000000094f28,0000000000000000,LOAD
5418500,0000000000010a44,06010113,x2,000000003fbffe60,000000003fbffec0,ALU
5426000,0000000000010510,000947b7,x15,0000000000097000,0000000000094000,ALU
5430000,0000000000010514,fa07b783,x15,0000000000094000,0000000000000000,LOAD
5433000,0000000000010518,000948b7,x17,0000000000098720,0000000000094000,ALU
5436000,000000000001051c,f9088893,x17,0000000000094000,0000000000093f90,ALU
5541000,0000000000010520,0017c703,x14,0000000000000001,0000000000000000,LOAD
5545000,0000000000010524,0007c683,x13,0000000000097000,0000000000000000,LOAD
5549000,0000000000010528,0027c803,x16,0000000000098720,0000000000000000,LOAD
5553000,000000000001052c,0037c503,x10,0000000000098700,0000000000000000,LOAD
5557000,0000000000010530,0047c583,x11,0000000000093f70,0000000000000000,LOAD
5560000,0000000000010534,00871713,x14,0000000000000000,0000000000000000,ALU
5564000,0000000000010538,0057c603,x12,0000000000097000,0000000000000000,LOAD
5567000,000000000001053c,00d76733,x14,0000000000000000,0000000000000000,ALU
5615500,0000000000010540,01081813,x16,0000000000000000,0000000000000000,ALU
5619500,0000000000010544,0067c683,x13,0000000000000000,0000000000000000,LOAD
5622500,0000000000010548,00e86833,x16,0000000000000000,0000000000000000,ALU
5625500,000000000001054c,01851513,x10,0000000000000000,0000000000000000,ALU
5629500,0000000000010550,0077c703,x14,0000000000000000,0000000000000000,LOAD
5632500,0000000000010554,01056533,x10,0000000000000000,0000000000000000,ALU
5635500,0000000000010558,02059593,x11,0000000000000000,0000000000000000,ALU
5638500,000000000001055c,00a5e5b3,x11,0000000000000000,0000000000000000,ALU
5641500,0000000000010560,02861613,x12,0000000000000000,0000000000000000,ALU
5644500,0000000000010564,00b66633,x12,0000000000000000,0000000000000000,ALU
5647500,0000000000010568,03069693,x13,0000000000000000,0000000000000000,ALU
