TIME,PC,INSTRUCTION,OPCODE,FUNCT3,RS1,RS2,RD,JUMP_IF,ALU_OP,BRANCH_TAKEN,JUMP_ABS,REG_WRITE,MEM_READ,MEM_WRITE,MEM_TO_REG,IS_LOAD,IS_STORE,IS_ECALL,IS_BREAK,ALU_WIDTH_32,SIGNED_TYPE,ALU_USE_IMMED,DATA_SIZE,DATA_SIGN
33790500,0000000000024ee0,fff00613,OP_OP_IMM,0,00,00,0c,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33790500,0000000000024ee0,fff00613,OP_OP_IMM,0,00,00,0c,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33790750,0000000000024ee0,fff00613,OP_OP_IMM,0,00,00,0c,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33790750,0000000000024ee0,fff00613,OP_OP_IMM,0,00,00,0c,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33793500,0000000000024ee4,00850513,OP_OP_IMM,0,0a,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33793500,0000000000024ee4,00850513,OP_OP_IMM,0,0a,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33793750,0000000000024ee4,00850513,OP_OP_IMM,0,0a,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33793750,0000000000024ee4,00850513,OP_OP_IMM,0,0a,00,0a,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33796500,0000000000024ee8,ff853703,OP_LOAD,3,0a,00,0e,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33796500,0000000000024ee8,ff853703,OP_LOAD,3,0a,00,0e,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33796750,0000000000024ee8,ff853703,OP_LOAD,3,0a,00,0e,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33796750,0000000000024ee8,ff853703,OP_LOAD,3,0a,00,0e,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33800500,0000000000024eec,00d777b3,OP_OP,7,0e,0d,0f,JUMP_NO,ALU_AND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33800500,0000000000024eec,00d777b3,OP_OP,7,0e,0d,0f,JUMP_NO,ALU_AND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
