TIME,PC,INSTRUCTION,ALU_OP,OPERAND1,OPERAND2,RESULT,ZERO,ALU_32
1282500,0000000000029734,fa080813,ALU_ADDI,0000000000094000,ffffffffffffffa0,0000000000093fa0,0,0
1285500,0000000000029738,00097a37,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
1285500,0000000000029738,00097a37,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
1288500,000000000002973c,00e13023,ALU_SD,000000003fbffde0,0000000000000000,000000003fbffde0,0,0
1288500,000000000002973c,00e13023,ALU_SD,000000003fbffde0,0000000000000000,000000003fbffde0,0,0
1338000,0000000000029740,000979b7,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
1338000,0000000000029740,000979b7,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
1341000,0000000000029744,00076737,ALU_LUI,0000000000000000,0000000000076000,0000000000076000,0,0
1341000,0000000000029744,00076737,ALU_LUI,0000000000000000,0000000000076000,0000000000076000,0,0
1344000,0000000000029748,0b613423,ALU_SD,000000003fbffde0,00000000000000a8,000000003fbffe88,0,0
1344000,0000000000029748,0b613423,ALU_SD,000000003fbffde0,00000000000000a8,000000003fbffe88,0,0
1348000,000000000002974c,09813c23,ALU_SD,000000003fbffde0,0000000000000098,000000003fbffe78,0,0
1348000,000000000002974c,09813c23,ALU_SD,000000003fbffde0,0000000000000098,000000003fbffe78,0,0
1352000,0000000000029750,09913823,ALU_SD,000000003fbffde0,0000000000000090,000000003fbffe70,0,0
1352000,0000000000029750,09913823,ALU_SD,000000003fbffde0,0000000000000090,000000003fbffe70,0,0
1356000,0000000000029754,09a13423,ALU_SD,000000003fbffde0,0000000000000088,000000003fbffe68,0,0
1356000,0000000000029754,09a13423,ALU_SD,000000003fbffde0,0000000000000088,000000003fbffe68,0,0
1360000,0000000000029758,09b13023,ALU_SD,000000003fbffde0,0000000000000080,000000003fbffe60,0,0
1360000,0000000000029758,09b13023,ALU_SD,000000003fbffde0,0000000000000080,000000003fbffe60,0,0
1364000,000000000002975c,0b713023,ALU_SD,000000003fbffde0,00000000000000a0,000000003fbffe80,0,0
1364000,000000000002975c,0b713023,ALU_SD,000000003fbffde0,00000000000000a0,000000003fbffe80,0,0
1368000,0000000000029760,00083d83,ALU_LD,0000000000093fa0,0000000000000000,0000000000093fa0,0,0
1368000,0000000000029760,00083d83,ALU_LD,0000000000093fa0,0000000000000000,0000000000093fa0,0,0
1372000,0000000000029764,0e8a2c83,ALU_LW,0000000000097000,00000000000000e8,00000000000970e8,0,0
1372000,0000000000029764,0e8a2c83,ALU_LW,0000000000097000,00000000000000e8,00000000000970e8,0,0
1376000,0000000000029768,00100613,ALU_ADDI,0000000000000000,0000000000000001,0000000000000001,0,0
1376000,0000000000029768,00100613,ALU_ADDI,0000000000000000,0000000000000001,0000000000000001,0,0
1379000,000000000002976c,0d09bb83,ALU_LD,0000000000097000,00000000000000d0,00000000000970d0,0,0
1379000,000000000002976c,0d09bb83,ALU_LD,0000000000097000,00000000000000d0,00000000000970d0,0,0
