TIME,OP,PC,ADDR,SIZE,SIGN,DATA,HIT_MISS,SET,TAG,WAY,INSTRUCTION
20292000,WRITE,0000000000015f7c,000000003fbffe20,7,1,0000000000097000, HIT,24,0000000007f7ff,1,03213023
20295500,WRITE,0000000000015f80,000000003fbffe18,7,1,0000000000097000, HIT,24,0000000007f7ff,1,01313c23
20296000,WRITE,0000000000015f80,000000003fbffe18,7,1,0000000000097000, HIT,24,0000000007f7ff,1,01313c23
20299500,WRITE,0000000000015f84,000000003fbffe08,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01513423
20300000,WRITE,0000000000015f84,000000003fbffe08,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01513423
20303500,WRITE,0000000000015f88,000000003fbffe00,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01613023
20304000,WRITE,0000000000015f88,000000003fbffe00,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01613023
20452000, READ,0000000000024edc,0000000000095920,7,1,7f7f7f7f7f7f7f7f, HIT,4,0000000000012b,1,9207b683
20452500, READ,0000000000024edc,0000000000095920,7,1,7f7f7f7f7f7f7f7f, HIT,4,0000000000012b,1,9207b683
20509000, READ,0000000000024ee8,0000000000076388,7,1,415242494c5f444c, HIT,14,000000000000ec,0,ff853703
20509500, READ,0000000000024ee8,0000000000076388,7,1,415242494c5f444c, HIT,14,000000000000ec,0,ff853703
20532500, READ,0000000000024ee8,0000000000076390,7,1,00485441505f5952, HIT,14,000000000000ec,0,ff853703
20533000, READ,0000000000024ee8,0000000000076390,7,1,00485441505f5952, HIT,14,000000000000ec,0,ff853703
20551500, READ,0000000000024f00,0000000000076390,1,0,0000000000000052, HIT,14,000000000000ec,0,ff854783
20552000, READ,0000000000024f00,0000000000076390,1,0,0000000000000052, HIT,14,000000000000ec,0,ff854783
20561500, READ,0000000000024f0c,0000000000076391,1,0,0000000000000059, HIT,14,000000000000ec,0,ff954783
20562000, READ,0000000000024f0c,0000000000076391,1,0,0000000000000059, HIT,14,000000000000ec,0,ff954783
20568500, READ,0000000000024f14,0000000000076392,1,0,000000000000005f, HIT,14,000000000000ec,0,ffa54783
20569000, READ,0000000000024f14,0000000000076392,1,0,000000000000005f, HIT,14,000000000000ec,0,ffa54783
20575500, READ,0000000000024f1c,0000000000076393,1,0,0000000000000050, HIT,14,000000000000ec,0,ffb54783
20576000, READ,0000000000024f1c,0000000000076393,1,0,0000000000000050, HIT,14,000000000000ec,0,ffb54783
20582500, READ,0000000000024f24,0000000000076394,1,0,0000000000000041, HIT,14,000000000000ec,0,ffc54703
20583000, READ,0000000000024f24,0000000000076394,1,0,0000000000000041, HIT,14,000000000000ec,0,ffc54703
20586500, READ,0000000000024f28,0000000000076395,1,0,0000000000000054, HIT,14,000000000000ec,0,ffd54683
20587000, READ,0000000000024f28,0000000000076395,1,0,0000000000000054, HIT,14,000000000000ec,0,ffd54683
20590500, READ,0000000000024f2c,0000000000076396,1,0,0000000000000048, HIT,14,000000000000ec,0,ffe54783
20591000, READ,0000000000024f2c,0000000000076396,1,0,0000000000000048, HIT,14,000000000000ec,0,ffe54783
